unit,type,code,description,plate,make_model,ownership,project,foreman
SUV-001,truck,SUV-001,ROGUE,TWV0162,ROGUE,company_owned,Equipment Yard,
SUV-2,truck,SUV-2,4RUNNER,CX9-P896,4RUNNER,company_owned,Equipment Yard,
TRK-003,truck,TRK-003,RAM 3500,LFL1796,RAM 3500,company_owned,Equipment Yard,
TRK-012,truck,TRK-012,TUNDRA,RYB8946,TUNDRA,company_owned,TxDOT Rockwall County,
TRK-013,truck,TRK-013,F-350,NCCJ-2905,F-350,company_owned,Equipment Yard,
TRK-014,truck,TRK-014,F-150,SBG-7670,F-150,company_owned,Frisco Lebanon Rd,
TRK-015,truck,TRK-015,F-550,1N17485,F-550,company_owned,Equipment Yard,
TRK-017,truck,TRK-017,Silverado 1500,THN-9189,Silverado 1500,company_owned,Equipment Yard,
TRK-018,truck,TRK-018,RAM-3500,TCR-2073,RAM-3500,company_owned,Equipment Yard,
TRK-019,truck,TRK-019,F550,TTT7348,F550,company_owned,Alamo NEX Seg N-2,
TRK-020,truck,TRK-020,F-250,VHX7593,F-250,company_owned,Frisco Dallas Pkwy - Punchout,
TRK-021,truck,TRK-021,F-150,XLW1035,F-150,company_owned,Job 25001,
TRK-022,truck,TRK-022,F-150,TNW8872,F-150,company_owned,Equipment Yard,
TRK-024,truck,TRK-024,F-150,TTY0037,F-150,company_owned,Equipment Yard,
TRK-025,truck,TRK-025,F-150,TTY0036,F-150,company_owned,Equipment Yard,
TRK-026,truck,TRK-026,F-150,TTY0035,F-150,company_owned,Equipment Yard,
TRK-027,truck,TRK-027,F-250,TYN0462,F-250,company_owned,Job 25015,
TRK-028,truck,TRK-028,F-150,TVZ4180,F-150,company_owned,Equipment Yard,
TRK-029,truck,TRK-029,F-150,TVZ4179,F-150,company_owned,Alamo NEX Seg N-2,
TRK-030,truck,TRK-030,F-150,TVZ3848,F-150,company_owned,TxDOT Rockwall County,
TRK-031,truck,TRK-031,2500,SZL-7694,2500,company_owned,Alamo NEX Seg N-2,
TRK-032,truck,TRK-032,F-250,VGC1264,F-250,company_owned,Job 25001,
TRK-033,truck,TRK-033,F-150,TWD3946,F-150,company_owned,Lone Star I-35 East Phase 2,
TRK-034,truck,TRK-034,F-150,TWD3850,F-150,company_owned,Equipment Yard,
TRK-035,truck,TRK-035,F-150,TWD3850,F-150,company_owned,Equipment Yard,
TRK-036,truck,TRK-036,F-150,TWD3774,F-150,company_owned,Frisco Dallas Pkwy - Punchout,
TRK-037,truck,TRK-037,F-150,TWD3945,F-150,company_owned,DFW Airport Slopes,
TRK-038,truck,TRK-038,F-150,VPL7462,F-150,company_owned,Frisco Dallas Pkwy - Punchout,
TRK-039,truck,TRK-039,F-150,VPL7461,F-150,company_owned,Equipment Yard,
TRK-040,truck,TRK-040,F-150,VPM2222,F-150,company_owned,DFW Airport Slopes,
TRK-041,truck,TRK-041,F-250,VNX8590,F-250,company_owned,I-35 Cap EX,
TRK-042,truck,TRK-042,F-250,VJB0953,F-250,company_owned,Lone Star I-35 East Phase 2,
TRK-043,truck,TRK-043,F-250,VMT5561,F-250,company_owned,Job 24015,
TRK-044,truck,TRK-044,F-250,VSN3520,F-250,company_owned,Alamo NEX Seg N-2,
